Menu,cost,kcal,Carbonhydrate,Protein,Fat
천국김밥,2000,485,74,12,15
김치김밥,2500,413,80,9,6
참치김밥,2500,570,100,16,18
치즈김밥,2500,545,92,16,11
땡초김밥,2500,466,62,14,12
소고기김밥,3000,477,92,14,4
돈가스김밥,3000,526,91,15,10
제육김밥,3000,490,92,14,6
라면,2500,385,56,8,15
떡라면,3000,538,79,15,18
김치라면,3000,495,79,11,15
치즈라면,3000,604,81,15,25
만두라면,3000,465,48,20,21
짬뽕라면,3500,906,105,42,36
떡볶이,2500,280,60,7,3
라볶이,3000,417,68,10,14
쫄볶이,3000,452,74,12,14
치즈떡볶이,3000,330,59,10,7
치즈라볶이,3500,467,69,13,18
치즈쫄볶이,3500,482,75,15,11
우동,3000,285,62,8,1
해물볶음우동,4500,359,30,35,14
비빔국수,4000,162,29,5,4
항아리수제비,4000,371,62,15,7
항아리칼국수,4000,420,72,16,9
떡국,4000,463,89,15,4
만두국,4000,443,32,23,25
떡만두국,4000,621,113,21,9
쫄면,4000,458,74,13,12
물냉면,4000,383,65,17,6
비빔냉면,4000,463,76,17,9
고기만두,3000,272,29,10,13
김치만두,3000,252,35,9,9
물만두,3000,197,23,8,8
군만두,3000,274,35,7,12
전복죽,6000,150,26,5,3
쇠고기야채죽,5500,170,26,10,3
호박죽,5500,211,44,4,3
오징어덮밥,5000,667,108,31,13
제육덮밥,5000,782,115,34,22
불고기덮밥,5000,440,49,29,13
낙지덮밥,5000,403,64,27,5
오므라이스,5000,380,47,15,15
양푼이비빔밥,4500,585,90,22,14
김치볶음밥,4500,446,75,12,9
새우볶음밥,5000,241,32,8,9
해물볶음밥,5000,508,68,16,18
김치찌개,4500,428,71,14,9
참치김치찌개,4500,405,72,16,5
된장찌개,4000,480,80,21,6
순두부찌개,4000,500,72,20,14
부대찌개,5500,926,106,34,40
육개장,5500,496,77,18,13
갈비탕,5500,766,77,39,32
설렁탕,5500,724,108,39,14
공기밥,1000,300,65,6,1
계란후라이,500,63,1,6,4
왕돈까스,5500,568,25,45,31
치즈돈까스,6000,721,25,58,42
고구마돈까스,6000,688,27,54,39
치킨마요볼,4500,415,59,13,14
돈가스볼,4500,605,42,43,28
불고기볼,4500,440,49,29,13
짜장덮밥,4500,495,86,11,10
잔치국수,3500,447,83,21,4
짜장면,3500,785,129,27,20
비빔국수,4000,425,74,15,7
비빔만두,4000,580,60,28,25
소고기국밥,5000,585,99,23,10
뼈해장국,6000,609,73,45,14
학생회관한식(월),4000,910,114,49,31
학생회관일품(월),4000,875,145,33,19
학생회관쉐프식(월),5500,1136,128,82,69
기숙사컵과일(월),2500,148,91,2,1
기숙사델리버스(월),4000,888,211,23,8
기숙사모던보울(월),4000,878,134,28,33
기숙사휘당(월),4000,924,95,46,42
기숙사샐러드(월),3500,655,39,36,40
치킨커틀렛버거,3200,469,70,30,4
인크레더블버거,4900,724,38,32,10
마살라버거,3800,416,75,25,2
치즈베이컨버거,4500,479,36,32,5
딥치즈버거,4000,409,59,28,5
싸이버거,3400,506,36,23,6
불싸이버거,3600,481,76,24,4
화이트갈릭버거,4100,572,3,38,7
리샐버거,4200,406,76,32,5
휠렛버거,3600,389,50,25,3
햄치즈휠렛버거,3900,478,50,31,6
할라피뇨통살버거,3900,385,4,21,4
할라피뇨통가슴살버거,3900,321,76,26,2
스파이시디럭스불고기버거,4200,480,7,25,8
디럭스불고기버거,4000,482,6,25,8
스파이시불고기버거,3200,310,6,15,3
불고기버거,3000,322,3,13,4
통새우버거,2900,370,5,11,3
펩시콜라,1600,121,34,0,0
감자튀김,1700,329,3,4,3
우리옥수수빵,1700,321,49,7,10
소보로 후레쉬크림빵,1500,290,41,7,11
부드럽고 촉촉한 치즈케이크,1300,250,14,5,2
고소한 에그빵,1600,225,44,4,7
피자바게트,4300,270,40,8,8
머쉬룸 난브레드,2600,274,27,10,14
햄에그머핀,2800,225,23,10,11
야채참치 크로켓,2000,358,30,11,22
에그타르트,1200,135,30,2,4
아침의 토스트,1700,159,20,6,6
찰호박꽈배기,2000,290,44,6,10
오리지널 크루아상,1100,231,26,5,12
지그재그 애플파이,1600,260,12,3,9
보름달 도라야끼,1300,160,35,4,2
군고루마 크로크무슈,2300,205,25,10,6
단팥빵,1300,200,36,5,4
고구마 슈크림 데니쉬,1700,262,29,5,15
크림치즈베이글,2200,235,65,6,5
리얼 모카번,1900,215,13,4,2
흰우유(200ml),1000,132,11,7,6
바나나우유(200ml),1400,277,40,11,8
교수동(월),5500,1000,132,49,33
순두부찌개(식당동),6500,778,112,31,22
치즈순두부찌개(식당동),7000,893,111,41,34
뼈다귀해장국(식당동),7000,679,15,86,29
김치돈까스나베(식당동),7000,793,37,86,27
수제돈까스(식당동),6500,842,37,67,45
Vegetarian Food(식당동),5000,373,124,11,0
소양지쌀국수(식당동),7000,708,92,21,21
언양식떡갈비덮밥(식당동),6500,868,164,12,24
